"time","Lon","Lat"
2012-12-03 18:22:44,139.762875810723,-46.8523252166084
2012-12-04 10:06:44,147.67,-43.133
2012-12-04 17:52:31,147.67,-43.133
2012-12-05 10:07:50,147.67,-43.133
2012-12-05 17:52:15,147.67,-43.133
2012-12-06 10:08:55,147.67,-43.133
2012-12-06 17:52:03,147.67,-43.133
2012-12-07 10:03:46,148.23507991623,-44.0198870720752
2012-12-07 17:52:10,148.72167536884,-44.1664371413233
2012-12-08 09:55:16,149.475409778004,-43.8564506580642
2012-12-08 17:56:06,148.483368307083,-44.0337119582438
2012-12-09 10:18:48,146.048290497376,-45.0552761699105
2012-12-09 17:59:18,145.724897396269,-46.111439407104
2012-12-10 10:48:14,149.458854428994,-52.56270367102
2012-12-10 16:48:36,149.732254388933,-53.5199624461359
2012-12-11 11:45:12,145.402509369135,-56.450160614287
2012-12-11 16:47:10,144.74211219087,-56.4257587827369
2012-12-12 13:41:09,143.405008931004,-61.1159435827523
2012-12-12 14:59:52,143.454473223532,-61.1211356447537
2012-12-13 13:23:59,138.715391775838,-60.2549181117256
2012-12-13 15:50:47,138.685839324494,-60.3381461142922
2012-12-14 13:34:00,128.402012698808,-58.7818804085584
2012-12-14 17:16:21,128.309096681082,-58.4877839754978
2012-12-15 12:33:18,128.16335418844,-53.7011611790295
2012-12-15 18:28:18,128.822042291966,-52.5750317807086
2012-12-16 10:19:15,140.630833842875,-43.4973620938594
2012-12-16 18:46:29,140.592023094152,-42.8425213280444
2012-12-17 10:18:31,147.67,-43.133
2012-12-17 17:52:48,147.67,-43.133
2012-12-18 10:19:10,147.67,-43.133
2012-12-18 17:53:09,147.67,-43.133
2012-12-19 10:19:46,147.67,-43.133
2012-12-19 17:53:33,147.67,-43.133
2012-12-20 10:20:20,147.67,-43.133
2012-12-20 17:53:59,147.67,-43.133
2012-12-21 10:20:51,147.67,-43.133
2012-12-21 17:54:28,147.67,-43.133
2012-12-22 10:21:19,147.67,-43.133
2012-12-22 17:55:00,147.67,-43.133
2012-12-23 10:21:45,147.67,-43.133
2012-12-23 17:55:35,147.67,-43.133
2012-12-24 10:22:09,147.67,-43.133
2012-12-24 17:56:12,147.67,-43.133
2012-12-25 10:35:56,150.607490722362,-49.7231727121527
2012-12-25 17:09:30,151.091196722385,-50.6876911699789
2012-12-26 10:59:17,150.09298048039,-53.6938310421872
2012-12-26 16:56:47,149.012373691529,-54.0559190273019
2012-12-27 11:34:39,146.975636487396,-55.3970040035012
2012-12-27 16:50:08,146.369575566459,-55.6678976190811
2012-12-28 12:08:28,143.647801633171,-57.012102373816
2012-12-28 16:45:59,143.289929574237,-57.0556920571301
2012-12-29 12:50:59,138.133150019074,-58.178010304996
2012-12-29 16:56:45,138.134905470056,-57.9576796786686
2012-12-30 12:12:52,142.864151945209,-57.07598415035
