Date.Time	Lon	Lat	ARS			
4/11/2009 11:01	76.629158	-47.8472404	0			
4/11/2009 11:22	76.6400452	-47.8516502	0			
4/11/2009 11:43	76.6476746	-47.8606529	0			
4/11/2009 12:20	76.6704102	-47.8685036	0			
4/11/2009 12:54	76.6862793	-47.8787193	0			
4/11/2009 13:37	76.7113724	-47.8879051	0			
4/11/2009 16:32	76.7875137	-47.9370003	0			
4/11/2009 16:53	76.792244	-47.9418106	0			
4/11/2009 18:01	76.8219376	-47.9528236	0			
4/11/2009 18:21	76.8303528	-47.9586945	0			
4/11/2009 18:58	76.8469849	-47.9671097	0			
4/11/2009 19:33	76.8634033	-47.9769821	0			
4/11/2009 20:11	76.8798141	-47.9893379	0			
4/11/2009 20:38	76.897316	-47.9980659	0			
4/11/2009 20:59	76.8977051	-47.9980469	0			
5/11/2009 2:55	77.085907	-48.0909843	0			
5/11/2009 3:58	77.1246872	-48.106514	0			
5/11/2009 5:20	77.1695251	-48.1306419	0			
5/11/2009 6:17	77.2007294	-48.1482239	0			
5/11/2009 6:38	77.2138443	-48.1507645	0			
5/11/2009 6:58	77.2263947	-48.1543312	0			
5/11/2009 7:33	77.2532959	-48.1572952	0			
5/11/2009 7:55	77.2650681	-48.162735	0			
5/11/2009 9:07	77.3057404	-48.1804848	0			
5/11/2009 9:28	77.3194733	-48.1852493	0			
5/11/2009 9:48	77.3304291	-48.1896133	0			
5/11/2009 10:23	77.3507996	-48.1911049	0			
5/11/2009 10:44	77.3610535	-48.1884117	0			
5/11/2009 11:04	77.3735504	-48.1901054	0			
5/11/2009 11:26	77.3899689	-48.1998825	0			
5/11/2009 11:47	77.4047928	-48.2068024	0			
5/11/2009 12:22	77.4264603	-48.216011	0			
5/11/2009 12:58	77.4465485	-48.2210579	0			
5/11/2009 13:52	77.4755707	-48.2363853	0			
5/11/2009 14:27	77.4967499	-48.2436829	0			
5/11/2009 14:48	77.5099716	-48.2402458	0			
5/11/2009 15:22	77.5276413	-48.2456627	0			
5/11/2009 16:29	77.5566177	-48.2546959	0			
5/11/2009 16:49	77.5615158	-48.2608833	0			
5/11/2009 17:20	77.5785522	-48.2684364	0			
5/11/2009 17:55	77.594696	-48.2821503	0			
5/11/2009 18:29	77.6153641	-48.2898979	0			
5/11/2009 19:01	77.6404037	-48.2977371	0			
5/11/2009 20:06	77.6827545	-48.3118782	0			
5/11/2009 20:27	77.6956406	-48.3158569	0			
5/11/2009 20:47	77.7037735	-48.319767	0			
5/11/2009 21:07	77.7151489	-48.3258133	0			
5/11/2009 22:31	77.7618179	-48.3504524	0			
5/11/2009 23:49	77.8125534	-48.3685532	0			
6/11/2009 1:14	77.8711319	-48.395504	0			
6/11/2009 1:34	77.8863602	-48.4008255	0			
6/11/2009 3:14	77.9632339	-48.4268303	0			
6/11/2009 3:34	77.9817429	-48.4299583	0			
6/11/2009 3:54	78.0013275	-48.4357262	0			
